Serie,Nombre,Chasis,Motor,Marca,UM,NumeroInvenProd,modelo,Linea,Color,Precio,Estado
,"Edificio de un nivel ubicado en la calle Tulio Maruzzo, Morales Izabal, sede de la 73av. Cia, SegÃºn licitacion 01-2008",,,,1,"73-12,1-00",,,,1549000,Habilitado
,Archivo metÃ¡lico de 4 gavetas,,,,1,"73-1221,1-02",,,Negro,200,Habilitado
,Archivo metÃ¡lico de 4 gavetas,,,,1,"73-1221,1-26",,,Negro mate,200,Habilitado
,Estanteria de metal 4 entrepaÃ±os,,,,1,"73-1221,1-06",,,Azul,500,Habilitado
,Estanteria 2 divisiones de vidrio (vitrina),,,,1,"73-1221,1-06",,,,300,Habilitado
7HCKP330716,Telefono,,,1,1,"73-1221,1-11",1,,,250,Habilitado
,Locker,,,,1,"73-1221,9-41",,,Gris,85,Habilitado
,Amueblado de sala estampado (2sillones grandes y 2 dos pequeños),,,,1,"73-1221,9-47",,,,2200,Habilitado
604RMB8042743,Televisor,,,2,1,"73-1221,9-43",2,,,1300,Habilitado
,Televisor,,,3,1,"73-1221,9-43",3,,,1000,Habilitado
10100230WM,Microhondas,,,4,1,"73-1221,9-44",4,,,650,Habilitado
,Pizarrones de Formica ,,,,1,"73-1221,2-46",,,,450,Habilitado
,Dispensador Tipo Oasis (deterioro por uso),,,5,1,"73-1221,9-42",,,Beige,1200,Habilitado
,Camas semi matrimonial,,,,1,"73-1221,9-40",,,,1000,Habilitado
,Camara 10 mega pixeles,,,6,1,,,,,,Habilitado
,Camara de Video con cargador semi personal,,,7,1,,,,,,Habilitado
,Modular de 7 entrepaños de madera ,,,,1,,,,Rojo,,Habilitado
,Cama Matrimonial,,,,1,,,,,1000,Habilitado
,Radio con microfono incluido unidad 918,,,8,1,"73-122,8-81",5,,,800,Habilitado
41200840,Radio con microfono incluido (Radiocabina),,,8,1,"73-122,8-81",5,,,800,Habilitado
50100054,Fuente de poder (Radiocabina),,,9,1,"73-122,8-113",6,,,700,Habilitado
J.10073186,Amplificador de sirena unidad 918,,,10,1,"73-122,8-114",7,,,1000,Habilitado
,Amplificador de sirena con microfono incluido unidad 925,,,11,1,"73-122,8-114",8,,,1000,Habilitado
,Modulo de sirena con microfono incluido unidad 637,,,12,1,"73-122,9-324",9,,,2000,Habilitado
,Modulo de sirena,,,,1,"73-122,9-324",10,,,2000,Habilitado
6786,Hidraulico conbinado,,,13,1,,,,,,Habilitado
4303015,Quijada de la vida 2007 A0,,,13,1,,,,,,Habilitado
,Unidad de poder hidraulico portatil (Motor Compresor),,,13,1,,,,,,Habilitado
,Barras Hidraulicas,,,13,1,,,,,,Habilitado
,Mangueras de extencion hidraulicas,,,13,1,,,,,,Habilitado
,Soporte de Hierro,,,,1,,,,,,Habilitado
,Barra de Hacero Hechiza de Pico y Uña,,,,1,,,,,,Habilitado
,Cortadoras de Mano con sierra para metal,,,,1,,,,,,Habilitado
,Arnes de tension ,,,,1,,,,,,Habilitado
,Burros de Poliestireno Industrial,,,,1,,,,,,Habilitado
,Llaves de union de 2 1/2,,,,1,"73-1223,7-164",,,,150,Habilitado
,Llave de acople 2 1/2,,,,1,"73-1223,7-164",,,,150,Habilitado
,Adaptador NHST unidad 485,,,,1,"73-1223,7-156",,,,100,Habilitado
,Adaptador de 1 1/2 doble hembra,,,,1,"73-1223,7-156",,,,250,Habilitado
